CEG,lat_base,lon_base,lat_era5,lon_era5,cell_key
EOLCVPI031272-0-01,-7.347073719999969,-40.599101504999965,-7.25,-40.5,latm7p25_lonm40p50
EOLCVBA031406-4-01,-13.906029313999966,-42.70480824599997,-14.0,-42.75,latm14p00_lonm42p75
EOLCVBA037083-5-01,-11.12346682599997,-41.325324001999945,-11.0,-41.25,latm11p00_lonm41p25
EOLCVBA032523-6-01,-10.026417056999946,-40.94897870399996,-10.0,-41.0,latm10p00_lonm41p00
EOLCVRN036980-2-01,-5.08160175699993,-37.01555946099995,-5.0,-37.0,latm5p00_lonm37p00
EOLCVPI033618-1-01,-8.681498630999954,-41.63913665599995,-8.75,-41.75,latm8p75_lonm41p75
EOLCVBA032111-7-01,-13.988786293999963,-42.66036226099993,-14.0,-42.75,latm14p00_lonm42p75
EOLCVPB033664-5-01,-6.891295088999925,-36.81212487399995,-7.0,-36.75,latm7p00_lonm36p75
EOLCVMA033686-6-01,-2.6566767579999464,-42.65091176799996,-2.75,-42.75,latm2p75_lonm42p75
EOLCVBA032524-4-01,-9.970325324999976,-40.88780379899998,-10.0,-41.0,latm10p00_lonm41p00
EOLCVRN038327-9-01,-5.129325200999972,-37.005196155999954,-5.25,-37.0,latm5p25_lonm37p00
EOLCVPI033020-5-01,-8.761761424999975,-41.57026002199996,-8.75,-41.5,latm8p75_lonm41p50
EOLCVBA033650-5-01,-11.587414082999942,-41.228528653999945,-11.5,-41.25,latm11p50_lonm41p25
EOLCVRN036981-0-01,-5.124634690999926,-36.977005292999934,-5.0,-37.0,latm5p00_lonm37p00
EOLCVRN032501-5-01,-5.232204562999925,-36.10267387599998,-5.25,-36.0,latm5p25_lonm36p00
EOLCVPI038103-9-01,-8.764600332999976,-41.65753217199995,-8.75,-41.75,latm8p75_lonm41p75
EOLCVPI038110-1-01,-8.899756785999955,-41.59113431299994,-9.0,-41.5,latm9p00_lonm41p50
EOLCVPI040629-5-01,-8.826359065999952,-41.626931282999976,-8.75,-41.75,latm8p75_lonm41p75
EOLCVBA032578-3-01,-11.22795736699993,-38.79201032599997,-11.25,-38.75,latm11p25_lonm38p75
EOLCVBA032579-1-01,-11.256467231999975,-38.81124797699994,-11.25,-38.75,latm11p25_lonm38p75
EOLCVRN032375-6-01,-3.2706525219999776,-39.39626156399999,-3.25,-39.5,latm3p25_lonm39p50
EOLCVRN032377-2-01,-3.2624649319999435,-39.34820175799996,-3.25,-39.25,latm3p25_lonm39p25
EOLCVRN032379-9-01,-3.245552262999979,-39.407349815999964,-3.25,-39.5,latm3p25_lonm39p50
EOLCVRN032376-4-01,-3.275988899999959,-39.35126682599997,-3.25,-39.25,latm3p25_lonm39p25
EOLCVRN037073-8-01,-5.180210416999955,-36.01315960899996,-5.25,-36.0,latm5p25_lonm36p00
EOLCVRN038318-0-01,-5.819395778999933,-35.92287265299996,-5.75,-36.0,latm5p75_lonm36p00
EOLCVRN038321-0-01,-5.759176409999952,-35.886164916999974,-5.75,-36.0,latm5p75_lonm36p00
EOLCVRN038322-8-01,-5.726903256999947,-35.904006590999984,-5.75,-36.0,latm5p75_lonm36p00
EOLCVRN036984-5-01,-5.239838309999925,-37.07549486499994,-5.25,-37.0,latm5p25_lonm37p00
EOLCVRN037075-4-01,-5.180079771999942,-36.02865094499998,-5.25,-36.0,latm5p25_lonm36p00
EOLCVBA034508-3-01,-11.530592267999964,-41.32024104599998,-11.5,-41.25,latm11p50_lonm41p25
EOLCVBA034514-8-01,-11.526126620999946,-41.33171371099996,-11.5,-41.25,latm11p50_lonm41p25
EOLCVPI048514-4-01,-7.99574008999997,-40.76965879899996,-8.0,-40.75,latm8p00_lonm40p75
EOLCVPI048515-2-01,-8.047201442999949,-40.68419167999997,-8.0,-40.75,latm8p00_lonm40p75
EOLCVPI048704-0-01,-8.03575034499994,-40.67637922499995,-8.0,-40.75,latm8p00_lonm40p75
EOLCVPI048512-8-01,-8.041749275999962,-40.666452238999966,-8.0,-40.75,latm8p00_lonm40p75
EOLCVPE035249-7-01,-8.003669297999977,-40.51767513399994,-8.0,-40.5,latm8p00_lonm40p50
EOLCVPI048513-6-01,-7.970509801999981,-40.59959603699997,-8.0,-40.5,latm8p00_lonm40p50
EOLCVPB038304-0-01,-6.999286045999952,-36.79954742499996,-7.0,-36.75,latm7p00_lonm36p75
EOLCVCE028652-4-01,-4.591114396999956,-37.63849806299993,-4.5,-37.75,latm4p50_lonm37p75
EOLCVCE028649-4-01,-4.53918389699993,-37.69811419399997,-4.5,-37.75,latm4p50_lonm37p75
EOLCVPI028731-8-01,-2.8211501709999425,-41.71609296799994,-2.75,-41.75,latm2p75_lonm41p75
EOLCVRN028424-6-01,-5.327026892999925,-35.39310938099993,-5.25,-35.5,latm5p25_lonm35p50
EOLCVCE028788-1-01,-4.467535014999953,-37.74466684199996,-4.5,-37.75,latm4p50_lonm37p75
EOLCVRN028443-2-01,-5.111071982999931,-36.40404373499996,-5.0,-36.5,latm5p00_lonm36p50
EOLCVPE031807-8-01,-8.187651839999944,-36.75098901999996,-8.25,-36.75,latm8p25_lonm36p75
EOLCVBA038078-4-01,-11.374533683999973,-42.177212837999946,-11.25,-42.25,latm11p25_lonm42p25
EOLCVBA038083-0-01,-11.381257070999936,-42.17558096899995,-11.5,-42.25,latm11p50_lonm42p25
EOLCVBA038085-7-01,-11.540410794999955,-42.11596768799996,-11.5,-42.0,latm11p50_lonm42p00
EOLCVBA044878-8-01,-11.432522387999938,-42.13742953499997,-11.5,-42.25,latm11p50_lonm42p25
