fase,config_key,L,H,W,modelo,horizonte,RMSE,MAE,MAPE,cutoff_date
Fase2,L12_H12_W48,12,12,48,Informer,4.0,1889.6350937032357,1889.6350937032357,32.16771999327629,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Informer,5.0,1278.9430576246632,1278.9430576246632,18.846810888622027,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Informer,6.0,2586.024039058897,2586.024039058897,31.619966735880695,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Informer,7.0,2184.570908850541,2184.570908850541,27.773186118451694,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Informer,8.0,715.5765731757383,715.5765731757383,11.24416341088869,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Informer,9.0,753.7597641701386,753.7597641701386,12.501300763648086,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Informer,10.0,1872.6162199647442,1872.6162199647442,29.82028534198905,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Informer,11.0,2164.278294015726,2164.278294015726,34.12602708192548,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Informer,12.0,892.133046127813,892.133046127813,20.15271180440347,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Ensemble,1.0,818.6414586083533,818.6414586083533,35.93242449535907,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Ensemble,2.0,67.67856387407346,67.67856387407346,2.045052638065425,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Ensemble,3.0,764.7530430194356,764.7530430194356,18.137501037032898,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Ensemble,4.0,2052.8362792010216,2052.8362792010216,34.94593365746854,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Ensemble,5.0,2346.743033462916,2346.743033462916,34.58216680734095,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Ensemble,6.0,3687.93664023999,3687.93664023999,45.09332942274642,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Ensemble,7.0,3119.9614706427556,3119.9614706427556,39.66512153736998,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Ensemble,8.0,1686.9604872492591,1686.9604872492591,26.507937930612798,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Ensemble,9.0,1719.4616480388322,1719.4616480388322,28.5177164336401,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Ensemble,10.0,2196.8303730828434,2196.8303730828434,34.983200441632405,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Ensemble,11.0,2684.5560285947813,2684.5560285947813,42.32969114373336,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,Ensemble,12.0,1138.5407854697055,1138.5407854697055,25.71890417771042,2019-02-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,1.0,1215.180824302361,1215.180824302361,36.7192890660327,2019-03-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,2.0,488.1111561417674,488.1111561417674,11.576438539890372,2019-03-01 00:00:00
Fase2,L12_H12_W48,12,12,48,CNN,3.0,1743.7481308126107,1743.7481308126107,29.684250571813426,2019-03-01 00:00:00
